income_total,DAYS_BIRTH,family_size,begin_month,credit
180000.0,-11917,3.0,-15.0,0.0
112500.0,-10551,3.0,-12.0,2.0
360000.0,-22456,2.0,-11.0,2.0
256500.0,-13821,2.0,-45.0,2.0
180000.0,-10351,2.0,-8.0,2.0
202500.0,-19598,2.0,-7.0,2.0
247500.0,-14136,2.0,-6.0,1.0
157500.0,-12681,2.0,-11.0,1.0
225000.0,-14496,2.0,-26.0,2.0
112500.0,-12974,4.0,-49.0,1.0
157500.0,-11900,3.0,-41.0,2.0
360000.0,-15344,2.0,-33.0,2.0
360000.0,-10597,1.0,-35.0,2.0
180000.0,-17975,2.0,-32.0,1.0
175500.0,-18868,2.0,-46.0,2.0
90000.0,-20362,2.0,-35.0,2.0
135000.0,-16728,2.0,-38.0,2.0
157500.0,-10087,4.0,-44.0,2.0
202500.0,-10756,3.0,-39.0,2.0
153000.0,-21899,2.0,-51.0,1.0
72000.0,-17136,3.0,-11.0,2.0
360000.0,-13465,4.0,-33.0,0.0
540000.0,-16409,2.0,-60.0,2.0
155250.0,-22044,2.0,-24.0,2.0
189000.0,-20815,2.0,-3.0,1.0
139500.0,-21017,2.0,-4.0,1.0
495000.0,-21596,1.0,-15.0,2.0
459000.0,-15980,2.0,-14.0,2.0
157500.0,-19702,2.0,-21.0,1.0
225000.0,-14077,2.0,-3.0,1.0
450000.0,-18173,3.0,-60.0,2.0
135000.0,-15499,2.0,-2.0,0.0
135000.0,-15812,3.0,-49.0,1.0
189000.0,-23086,2.0,-19.0,0.0
225000.0,-10755,2.0,-15.0,2.0
112500.0,-10705,2.0,-2.0,1.0
315000.0,-17940,2.0,-26.0,2.0
157500.0,-11785,1.0,-22.0,1.0
126000.0,-20288,2.0,-12.0,2.0
315000.0,-16990,2.0,-19.0,2.0
720000.0,-20791,1.0,-58.0,2.0
90000.0,-20718,2.0,-5.0,0.0
67500.0,-10281,4.0,-12.0,0.0
157500.0,-22861,2.0,-42.0,1.0
225000.0,-15092,2.0,-46.0,2.0
180000.0,-16803,1.0,-49.0,2.0
216000.0,-18529,2.0,-10.0,2.0
157500.0,-13830,3.0,-4.0,1.0
112500.0,-20027,1.0,-26.0,0.0
112500.0,-16573,2.0,-44.0,2.0
90000.0,-23262,1.0,-13.0,0.0
121500.0,-21310,2.0,-28.0,2.0
135000.0,-13299,2.0,-14.0,2.0
202500.0,-16224,2.0,-22.0,0.0
252000.0,-12483,3.0,-19.0,1.0
202500.0,-10981,2.0,-5.0,2.0
202500.0,-9889,2.0,-36.0,2.0
360000.0,-11524,3.0,-49.0,2.0
225000.0,-13077,4.0,-26.0,1.0
360000.0,-15812,4.0,-11.0,2.0
202500.0,-14646,2.0,-3.0,1.0
225000.0,-12322,2.0,-10.0,1.0
135000.0,-14185,2.0,-8.0,1.0
360000.0,-11613,2.0,-41.0,2.0
382500.0,-17254,2.0,-46.0,1.0
171000.0,-16938,1.0,-28.0,2.0
292500.0,-11365,2.0,-48.0,1.0
144000.0,-14407,1.0,-6.0,2.0
112500.0,-11604,4.0,-3.0,0.0
81000.0,-21383,2.0,-18.0,2.0
225000.0,-14816,2.0,0.0,1.0
315000.0,-17752,1.0,-52.0,2.0
427500.0,-15085,3.0,-3.0,1.0
78750.0,-12104,2.0,-13.0,2.0
67500.0,-24081,1.0,-30.0,0.0
121500.0,-22046,2.0,-13.0,2.0
144000.0,-16898,1.0,-42.0,2.0
135000.0,-22283,2.0,-45.0,1.0
94500.0,-21513,2.0,-41.0,0.0
562500.0,-14654,2.0,-12.0,0.0
90000.0,-21992,1.0,-32.0,1.0
72000.0,-14173,3.0,-43.0,2.0
144000.0,-16979,2.0,-11.0,2.0
202500.0,-21276,2.0,-17.0,2.0
270000.0,-17573,2.0,-28.0,2.0
180000.0,-11498,3.0,-12.0,1.0
315000.0,-12621,4.0,-50.0,2.0
180000.0,-19565,2.0,-49.0,1.0
292500.0,-9990,1.0,-7.0,0.0
90000.0,-21340,2.0,-51.0,2.0
103500.0,-17767,2.0,-37.0,2.0
67500.0,-22989,2.0,-19.0,2.0
225000.0,-11067,2.0,-17.0,0.0
112500.0,-16076,2.0,-27.0,1.0
450000.0,-18318,2.0,-59.0,1.0
247500.0,-15995,2.0,-11.0,1.0
247500.0,-17455,2.0,-20.0,1.0
112500.0,-14216,2.0,-27.0,2.0
225000.0,-15634,2.0,-29.0,2.0
270000.0,-14052,2.0,-37.0,2.0
382500.0,-11960,2.0,-3.0,1.0
202500.0,-12703,4.0,-18.0,1.0
180000.0,-13791,4.0,-6.0,2.0
112500.0,-15903,1.0,-13.0,2.0
99000.0,-17876,2.0,-1.0,1.0
157500.0,-13811,3.0,-23.0,0.0
202500.0,-20182,2.0,-43.0,1.0
90000.0,-18474,2.0,-28.0,2.0
157500.0,-14192,4.0,-47.0,2.0
180000.0,-14972,2.0,-43.0,1.0
180000.0,-12627,3.0,-11.0,1.0
202500.0,-20565,2.0,-14.0,2.0
90000.0,-12383,3.0,-6.0,1.0
225000.0,-19777,1.0,-22.0,2.0
126000.0,-10302,2.0,-32.0,2.0
180000.0,-10969,3.0,-5.0,1.0
360000.0,-13576,3.0,-25.0,2.0
157500.0,-23774,1.0,-17.0,1.0
315000.0,-15256,1.0,-18.0,0.0
270000.0,-14512,3.0,-46.0,2.0
180000.0,-13767,3.0,-41.0,1.0
180000.0,-13361,4.0,-18.0,2.0
180000.0,-11223,2.0,-46.0,2.0
180000.0,-9911,3.0,-38.0,2.0
81000.0,-22791,2.0,-33.0,2.0
67500.0,-9323,2.0,-10.0,0.0
238500.0,-20517,2.0,-12.0,2.0
202500.0,-21269,1.0,-39.0,2.0
630000.0,-22001,1.0,-41.0,2.0
405000.0,-13362,1.0,-25.0,2.0
135000.0,-12725,4.0,-42.0,0.0
112500.0,-10475,2.0,-11.0,2.0
67500.0,-22844,2.0,-13.0,2.0
135000.0,-16625,4.0,-23.0,2.0
184500.0,-13916,2.0,-60.0,2.0
337500.0,-12794,3.0,-2.0,1.0
67500.0,-21516,1.0,-8.0,2.0
90000.0,-8316,3.0,-20.0,0.0
180000.0,-14083,2.0,0.0,1.0
112500.0,-19987,2.0,-35.0,1.0
112500.0,-22408,2.0,-44.0,1.0
76500.0,-24311,2.0,-9.0,2.0
90000.0,-20644,1.0,-5.0,2.0
252000.0,-13796,2.0,-33.0,2.0
180000.0,-23289,2.0,-22.0,2.0
112500.0,-16917,1.0,-3.0,0.0
562500.0,-13790,3.0,-35.0,2.0
112500.0,-18061,2.0,-16.0,2.0
270000.0,-12922,1.0,-53.0,2.0
90000.0,-14348,5.0,-5.0,2.0
135000.0,-12541,4.0,-16.0,2.0
157500.0,-11588,2.0,-23.0,2.0
135000.0,-14201,2.0,-31.0,0.0
301500.0,-21044,2.0,-7.0,2.0
225000.0,-10328,2.0,-20.0,1.0
135000.0,-19514,1.0,-42.0,2.0
247500.0,-10370,1.0,-9.0,2.0
270000.0,-9184,2.0,-25.0,2.0
315000.0,-8440,2.0,-3.0,1.0
135000.0,-11768,2.0,-54.0,2.0
315000.0,-15476,4.0,-48.0,2.0
180000.0,-14070,2.0,-17.0,1.0
256500.0,-18554,1.0,-21.0,1.0
180000.0,-13052,2.0,-23.0,2.0
112500.0,-18666,2.0,-5.0,0.0
382500.0,-18946,4.0,-33.0,0.0
112500.0,-20589,2.0,-33.0,1.0
450000.0,-17841,4.0,-25.0,2.0
180000.0,-17158,2.0,-9.0,1.0
247500.0,-16306,2.0,-55.0,2.0
315000.0,-12883,2.0,-39.0,2.0
229500.0,-16481,1.0,-19.0,1.0
148500.0,-17641,2.0,-20.0,2.0
135000.0,-18964,2.0,-20.0,1.0
135000.0,-17143,2.0,-3.0,1.0
166500.0,-21466,2.0,-14.0,2.0
463500.0,-20848,2.0,-34.0,0.0
90000.0,-23236,2.0,-14.0,2.0
157500.0,-22887,1.0,-7.0,1.0
225000.0,-12640,3.0,-21.0,2.0
135000.0,-11008,4.0,-41.0,1.0
202500.0,-15328,6.0,-30.0,2.0
202500.0,-16184,3.0,-15.0,2.0
405000.0,-16510,3.0,-22.0,2.0
135000.0,-18820,2.0,-7.0,1.0
225000.0,-9444,1.0,-21.0,2.0
225000.0,-14436,1.0,-1.0,0.0
126000.0,-13658,2.0,-45.0,2.0
270000.0,-14488,3.0,-22.0,2.0
90000.0,-14271,1.0,-14.0,2.0
270000.0,-19363,1.0,-18.0,2.0
157500.0,-15602,2.0,-37.0,2.0
180000.0,-17701,2.0,-16.0,1.0
184500.0,-13916,2.0,0.0,1.0
270000.0,-16517,2.0,-60.0,2.0
99000.0,-18563,2.0,-39.0,2.0
432000.0,-12719,2.0,-31.0,0.0
180000.0,-19161,2.0,-11.0,0.0
247500.0,-23132,2.0,-28.0,2.0
180000.0,-12899,4.0,-37.0,2.0
117000.0,-17134,2.0,-20.0,2.0
121500.0,-11327,4.0,-26.0,2.0
112500.0,-13671,6.0,-12.0,0.0
90000.0,-21567,2.0,-36.0,2.0
99000.0,-21030,2.0,-33.0,2.0
180000.0,-17732,2.0,-2.0,1.0
225000.0,-10166,1.0,-40.0,2.0
135000.0,-14461,3.0,-6.0,1.0
180000.0,-9145,2.0,-34.0,2.0
135000.0,-19597,2.0,-11.0,2.0
787500.0,-17203,2.0,-1.0,1.0
270000.0,-18114,2.0,-34.0,2.0
81000.0,-17926,2.0,-16.0,2.0
180000.0,-10456,2.0,-4.0,2.0
247500.0,-10952,2.0,-44.0,2.0
225000.0,-9690,1.0,-24.0,2.0
234000.0,-15110,2.0,-7.0,2.0
225000.0,-24166,2.0,-31.0,1.0
81000.0,-22952,2.0,-33.0,2.0
135000.0,-10112,3.0,-48.0,1.0
126000.0,-16236,1.0,-12.0,2.0
225000.0,-12997,4.0,-6.0,1.0
180000.0,-23029,1.0,-9.0,0.0
306000.0,-13053,2.0,-17.0,1.0
67500.0,-22972,1.0,-6.0,2.0
90000.0,-21904,2.0,-2.0,1.0
112500.0,-14432,2.0,-33.0,2.0
247500.0,-14567,2.0,-24.0,2.0
108000.0,-16416,1.0,-55.0,2.0
135000.0,-18103,2.0,-34.0,2.0
279000.0,-16187,3.0,-33.0,2.0
112500.0,-19601,2.0,-27.0,2.0
405000.0,-20911,2.0,-25.0,1.0
450000.0,-17297,3.0,-49.0,2.0
900000.0,-16923,3.0,-26.0,2.0
270000.0,-20814,2.0,-22.0,2.0
148500.0,-14962,3.0,-14.0,2.0
90000.0,-12496,4.0,-37.0,1.0
270000.0,-11621,1.0,-20.0,2.0
112500.0,-14790,2.0,-27.0,2.0
135000.0,-19824,2.0,-7.0,2.0
180000.0,-19007,2.0,-7.0,1.0
378000.0,-10722,4.0,-22.0,2.0
99000.0,-22814,1.0,-1.0,1.0
360000.0,-19305,1.0,-23.0,2.0
81000.0,-8836,2.0,-7.0,2.0
180000.0,-17211,2.0,-1.0,1.0
630000.0,-21343,2.0,-21.0,2.0
225000.0,-10457,2.0,-11.0,2.0
81000.0,-14290,3.0,-41.0,2.0
90000.0,-18309,3.0,0.0,1.0
225000.0,-16768,4.0,-7.0,2.0
112500.0,-13095,4.0,-51.0,2.0
202500.0,-10746,3.0,-53.0,2.0
112500.0,-18293,2.0,-58.0,2.0
180000.0,-9930,4.0,-58.0,1.0
135000.0,-21943,1.0,-18.0,2.0
67500.0,-20575,2.0,-9.0,2.0
247500.0,-11632,1.0,-20.0,2.0
31500.0,-22564,2.0,-7.0,0.0
247500.0,-9605,2.0,-1.0,1.0
135000.0,-15228,2.0,-19.0,2.0
29250.0,-20086,2.0,-41.0,0.0
72000.0,-21908,2.0,-5.0,2.0
112500.0,-9718,2.0,-5.0,1.0
135000.0,-20875,2.0,-44.0,1.0
270000.0,-22340,2.0,-3.0,1.0
202500.0,-20195,2.0,-18.0,2.0
135000.0,-15143,2.0,-27.0,2.0
157500.0,-13549,3.0,-19.0,0.0
180000.0,-16000,5.0,-7.0,2.0
202500.0,-20544,2.0,-27.0,2.0
166500.0,-12258,3.0,-34.0,2.0
94500.0,-20836,2.0,-10.0,0.0
247500.0,-11770,1.0,-58.0,0.0
180000.0,-24376,1.0,-17.0,2.0
225000.0,-17868,3.0,-21.0,2.0
225000.0,-12269,2.0,-29.0,1.0
157500.0,-11888,2.0,-17.0,2.0
135000.0,-18820,2.0,-7.0,1.0
180000.0,-11089,2.0,-6.0,1.0
180000.0,-10351,2.0,-16.0,2.0
135000.0,-13639,4.0,-25.0,1.0
148500.0,-15868,4.0,0.0,0.0
112500.0,-10796,3.0,-26.0,2.0
135000.0,-20989,2.0,-15.0,1.0
90000.0,-17767,2.0,-18.0,2.0
270000.0,-18625,2.0,-30.0,0.0
112500.0,-21312,4.0,-1.0,0.0
135000.0,-21393,2.0,-28.0,2.0
139500.0,-15463,2.0,-33.0,0.0
135000.0,-13689,3.0,-29.0,2.0
270000.0,-14754,2.0,-34.0,0.0
225000.0,-15108,2.0,-19.0,2.0
121500.0,-17835,2.0,-11.0,2.0
225000.0,-20460,2.0,-31.0,2.0
225000.0,-12019,2.0,-18.0,2.0
135000.0,-12782,3.0,-18.0,0.0
360000.0,-11841,2.0,-55.0,1.0
112500.0,-20132,1.0,-42.0,2.0
112500.0,-22365,2.0,-9.0,2.0
157500.0,-11609,3.0,-17.0,2.0
337500.0,-13263,2.0,-43.0,2.0
315000.0,-11725,2.0,-1.0,0.0
121500.0,-10312,2.0,-47.0,0.0
67500.0,-13876,3.0,-1.0,1.0
108000.0,-22182,1.0,-32.0,2.0
144000.0,-21481,1.0,-28.0,2.0
225000.0,-10937,4.0,-38.0,1.0
121500.0,-21366,1.0,-34.0,0.0
157500.0,-14926,2.0,-32.0,2.0
270000.0,-17927,2.0,-3.0,1.0
180000.0,-14226,2.0,-60.0,2.0
45000.0,-20688,2.0,-15.0,2.0
180000.0,-20600,2.0,-21.0,2.0
135000.0,-17615,1.0,-37.0,2.0
81000.0,-20051,2.0,-30.0,2.0
112500.0,-10551,3.0,-17.0,2.0
157500.0,-10647,2.0,-30.0,2.0
112500.0,-11061,1.0,-34.0,2.0
202500.0,-10756,3.0,-50.0,2.0
211500.0,-10072,1.0,-32.0,2.0
112500.0,-11945,4.0,-10.0,1.0
157500.0,-9389,2.0,-10.0,1.0
247500.0,-23339,1.0,-14.0,2.0
202500.0,-17822,2.0,-7.0,2.0
193500.0,-10439,3.0,-41.0,2.0
225000.0,-9970,2.0,-10.0,1.0
90000.0,-21532,1.0,-45.0,2.0
108000.0,-18827,2.0,-11.0,2.0
135000.0,-18816,2.0,-32.0,0.0
270000.0,-12555,2.0,-31.0,1.0
157500.0,-20441,1.0,-34.0,1.0
135000.0,-12988,1.0,-3.0,1.0
81000.0,-19439,1.0,-33.0,1.0
247500.0,-16269,2.0,-40.0,2.0
180000.0,-14243,5.0,-52.0,2.0
126000.0,-23336,2.0,-43.0,2.0
121500.0,-17835,2.0,-26.0,2.0
90000.0,-9764,3.0,-11.0,1.0
180000.0,-11900,3.0,-46.0,1.0
180000.0,-13643,2.0,-29.0,2.0
360000.0,-12542,2.0,-24.0,2.0
225000.0,-11828,2.0,-10.0,2.0
189000.0,-21845,1.0,-7.0,2.0
270000.0,-23369,1.0,-5.0,2.0
184500.0,-15921,3.0,-10.0,2.0
270000.0,-13805,1.0,-7.0,0.0
103500.0,-9088,2.0,-43.0,2.0
112500.0,-13217,2.0,-4.0,2.0
427500.0,-16691,2.0,-48.0,2.0
270000.0,-15646,3.0,-11.0,2.0
180000.0,-18439,2.0,-38.0,2.0
67500.0,-16897,1.0,-18.0,2.0
103500.0,-12182,5.0,-10.0,2.0
112500.0,-10004,2.0,-20.0,1.0
135000.0,-10151,3.0,-14.0,2.0
207000.0,-15302,3.0,-59.0,2.0
135000.0,-15201,2.0,-6.0,2.0
225000.0,-22523,2.0,-8.0,0.0
112500.0,-23570,1.0,-5.0,2.0
49500.0,-22129,2.0,-1.0,0.0
108000.0,-24365,2.0,-1.0,1.0
157500.0,-14274,5.0,-17.0,2.0
103500.0,-18826,2.0,-5.0,2.0
270000.0,-19963,2.0,-18.0,1.0
180000.0,-14687,3.0,-6.0,2.0
112500.0,-23096,2.0,-35.0,1.0
65250.0,-19897,1.0,-34.0,1.0
360000.0,-22933,2.0,-12.0,1.0
202500.0,-15542,3.0,-30.0,2.0
265500.0,-15925,2.0,-45.0,2.0
135000.0,-16981,2.0,-47.0,2.0
202500.0,-12506,3.0,-37.0,2.0
270000.0,-11768,2.0,-40.0,2.0
112500.0,-23018,1.0,-55.0,2.0
135000.0,-14394,1.0,-8.0,2.0
112500.0,-22037,2.0,-6.0,1.0
112500.0,-16022,2.0,-39.0,2.0
135000.0,-8242,1.0,-3.0,1.0
427500.0,-23655,2.0,-15.0,2.0
315000.0,-16188,2.0,-37.0,2.0
76500.0,-16347,2.0,-43.0,2.0
135000.0,-17614,2.0,-32.0,2.0
180000.0,-22115,2.0,-20.0,2.0
234000.0,-19378,2.0,-32.0,1.0
261000.0,-19758,1.0,-6.0,2.0
157500.0,-15473,3.0,-18.0,2.0
450000.0,-10363,1.0,-16.0,0.0
157500.0,-21049,1.0,-55.0,2.0
180000.0,-17483,2.0,-28.0,2.0
427500.0,-15144,4.0,-44.0,2.0
247500.0,-15260,2.0,-38.0,2.0
157500.0,-12623,3.0,-52.0,2.0
225000.0,-20470,1.0,-44.0,2.0
126000.0,-14811,2.0,-31.0,2.0
135000.0,-13299,2.0,-5.0,0.0
270000.0,-15438,4.0,-39.0,2.0
135000.0,-17579,1.0,-59.0,2.0
360000.0,-9983,2.0,-51.0,2.0
103500.0,-18543,2.0,-23.0,2.0
135000.0,-11702,2.0,-35.0,0.0
157500.0,-12870,1.0,-1.0,1.0
148500.0,-10986,2.0,-11.0,2.0
112500.0,-21216,2.0,-21.0,2.0
135000.0,-13589,3.0,-37.0,2.0
76500.0,-20931,2.0,-12.0,2.0
225000.0,-17868,3.0,-21.0,0.0
180000.0,-18767,2.0,-10.0,2.0
216000.0,-20062,1.0,-48.0,2.0
121500.0,-14869,2.0,-6.0,2.0
247500.0,-15114,2.0,-16.0,2.0
135000.0,-9454,3.0,-27.0,2.0
202500.0,-10482,2.0,-22.0,2.0
126000.0,-11461,3.0,-33.0,2.0
135000.0,-12760,4.0,-25.0,2.0
112500.0,-11353,2.0,-35.0,1.0
40500.0,-21177,2.0,-44.0,2.0
157500.0,-17344,2.0,-36.0,2.0
225000.0,-19890,1.0,-57.0,2.0
121500.0,-21841,2.0,-32.0,1.0
108000.0,-12249,2.0,-24.0,2.0
135000.0,-18199,2.0,-12.0,0.0
135000.0,-18109,2.0,-33.0,2.0
225000.0,-12244,4.0,-29.0,2.0
225000.0,-16173,3.0,-15.0,0.0
90000.0,-16034,2.0,-3.0,1.0
315000.0,-15653,2.0,-46.0,1.0
121500.0,-23491,1.0,-14.0,2.0
157500.0,-16425,3.0,-40.0,2.0
135000.0,-22892,2.0,-13.0,2.0
81000.0,-11352,2.0,-21.0,2.0
135000.0,-23211,2.0,-42.0,2.0
234000.0,-10293,4.0,0.0,1.0
81000.0,-15342,2.0,-59.0,2.0
216000.0,-22867,2.0,-2.0,1.0
427500.0,-15798,1.0,-51.0,2.0
315000.0,-16314,2.0,-58.0,1.0
135000.0,-22556,1.0,-16.0,1.0
157500.0,-15462,2.0,-7.0,1.0
157500.0,-13830,3.0,-6.0,2.0
180000.0,-9930,4.0,-54.0,1.0
225000.0,-19451,2.0,-8.0,2.0
112500.0,-18394,3.0,0.0,0.0
360000.0,-9983,2.0,-12.0,2.0
225000.0,-13456,4.0,-34.0,2.0
121500.0,-11697,4.0,-2.0,0.0
135000.0,-11296,4.0,-38.0,2.0
270000.0,-21511,2.0,-42.0,2.0
112500.0,-16285,2.0,-12.0,0.0
265500.0,-11630,4.0,-2.0,1.0
225000.0,-21362,2.0,-53.0,2.0
135000.0,-21435,2.0,-7.0,2.0
225000.0,-20267,1.0,-9.0,0.0
180000.0,-13856,2.0,-6.0,0.0
112500.0,-17372,2.0,-57.0,2.0
225000.0,-20723,2.0,-19.0,2.0
135000.0,-22283,2.0,-7.0,2.0
202500.0,-14562,2.0,-19.0,1.0
81000.0,-23639,1.0,-47.0,2.0
135000.0,-15836,2.0,-32.0,2.0
247500.0,-11984,1.0,-54.0,2.0
90000.0,-22123,2.0,-7.0,2.0
180000.0,-9911,3.0,-13.0,2.0
247500.0,-22379,1.0,-31.0,2.0
112500.0,-13436,2.0,-11.0,2.0
292500.0,-15437,3.0,-27.0,2.0
99000.0,-10633,3.0,-25.0,1.0
175500.0,-22077,2.0,-14.0,1.0
135000.0,-10598,4.0,-15.0,2.0
126000.0,-12662,3.0,-2.0,1.0
157500.0,-14697,2.0,-13.0,2.0
157500.0,-17262,3.0,-38.0,2.0
148500.0,-18690,2.0,-49.0,2.0
247500.0,-11268,2.0,-29.0,0.0
270000.0,-18659,1.0,-43.0,0.0
202500.0,-13745,2.0,-31.0,0.0
81000.0,-16940,2.0,-39.0,2.0
126000.0,-20681,2.0,-4.0,2.0
225000.0,-9926,1.0,0.0,0.0
360000.0,-11524,3.0,-42.0,1.0
90000.0,-21440,1.0,-3.0,1.0
121500.0,-9740,2.0,-32.0,2.0
126000.0,-16491,2.0,-42.0,2.0
162000.0,-11495,1.0,-3.0,1.0
157500.0,-19523,1.0,-4.0,1.0
135000.0,-16548,2.0,-51.0,1.0
94500.0,-19780,3.0,-32.0,2.0
189000.0,-16495,2.0,-5.0,2.0
112500.0,-20005,2.0,-27.0,2.0
135000.0,-23640,2.0,-13.0,2.0
81000.0,-22176,2.0,-53.0,2.0
135000.0,-10576,1.0,-35.0,2.0
427500.0,-15085,3.0,-23.0,2.0
